pl_name,rastr,ra,decstr,dec,pl_massj,pl_masse,pl_orbsmax,st_mass,sy_dist,ml_dists,ml_tsepmin,ml_sepminnorm,ml_xtimeein,ml_radsnorm,ml_sepinsnorp,ml_massratio,ml_angstlax,ml_magis,ml_magibl,ml_radeinang,ml_pmrells,glon,glat,ml_plxrel,ml_plxmicro,ml_plxmicron,ml_plxmicroe,ml_dsdt,ml_dalphadt,ml_radsang,ml_radsphy,ml_xtimesrc,ml_efftime,ml_pms,ml_magvs,ml_magvso,ml_magiso,ml_magjs,ml_magjso,ml_maghs,ml_maghso,ml_magks,ml_magkso,ml_magibase,sy_vmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,ml_extvfld,ml_extifld,ml_extjfld,ml_exthfld,ml_extkfld
KMT-2016-BLG-1105L b,17h45m47.34s,266.44725,-26d15m58.93s,-26.266369,0.00415318,1.32,2.26,0.43,3270,,2457555.896,0.148,43.3,0.75,0.888,0.094,0.691,21.27,,0.907,6.74,2.29896,1.35832,,,,,,,0.68,,,,,,,18.46,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0506L b,17h50m31.16s,267.629833,-31d55m26.6s,-31.924056,0.05128554,16.3,3,0.63,5600,,2458224.158,0.0879,23.85,0.014,1.0673,0.846,1.8541,19.37,,0.43,8.1,357.98566,-2.44687,,,0.495,0.006,,,5.11,,,,,,,15.1,,,,,,,,,,,,,,,,,
OGLE-2014-BLG-0676L b,17h52m24.50s,268.102081,-30d32m54.20s,-30.548389,3.09,982,4.4,0.62,2220,,2456777.335,0.0037,116.3,0.278,1.347,47.8,2.203,23.512,,1.38,4.33,359.37612,-2.09312,,,,,,,,,,,,,,21.02,,,,,,,,,,,,,,2.5,,,
KMT-2016-BLG-1105L b,17h45m47.34s,266.44725,-26d15m58.93s,-26.266369,0.03819671,12.14,2.63,0.43,5420,,2457555.772,0.154,42.5,4.6,1.155,0.8531,3.832,21.22,,0.15,3.97,2.29896,1.35832,,,,,,,0.696,,,,,,,18.41,,,,,,,,,,,,,,,,,
KMT-2016-BLG-1105L b,17h45m47.34s,266.44725,-26d15m58.93s,-26.266369,0.00729954,2.32,2.44,0.41,5080,,,,,,,,,,,,4.68,2.29896,1.35832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOA-2007-BLG-400L b,18h09m41.98s,272.424917,-29d13m26.95s,-29.224153,0.83,260,0.72,0.3,5800,,2454354.581,0.00025,14.41,3.26,0.34,26,3.9629,,,,,2.38132,-4.70081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1372L b,17h37m57.25s,264.488542,-28d08m54.20s,-28.148389,0.19277698,61.27,2.37,0.42,5970,,,,,,,,,,,,,359.78034,1.84567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOA-2007-BLG-400L b,18h09m41.980s,272.424917,-29d13m26.95s,-29.224153,1.7,540.3082919,5.9,0.69,6890,,2454354.531,-0.00425,13.39,,2.72,23.1,-0.812,18.39,,0.322,8.77,2.38132,-4.70081,,,,,,,,,0.04712,,,19.99,,,,,16.58,,16.43,,,,,,,,,,,,
OGLE-2017-BLG-1806L b,17h46m29.58s,266.62325,-24d16m20.17s,-24.272269,0.01721054,5.47,2.53,0.34,3010,,2458024.388,0.0269,64.5,2.8,1.19,0.4819,3.121,21.03,,0.21,4.92,4.08658,2.25801,,,-0.535,0.12,,,0.584,,,,,,,18.94,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0977L b,17h54m01.47s,268.506125,-30d36m17.3s,-30.604806,0.02013665,6.4,2,0.47,6500,,2458276.6,0.147,20.37,0.0033,0.8793,0.415,2.5063,20.2,,0.2,6.9,359.50386,-2.42159,,,,,,,0.66,,,,,,,18.55,,,,,,,,,,,,,,,,,
